Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
0,0.8234359909297363,4.99338104320517e-28,0.031225372462213463,5.229464976694937e-16,0.14107313263186663,7.391557177472346e-15
0.003962486720920283,0.8234369324056058,0.0005589931265124718,0.031224322758393003,0.0004751897174393796,0.1410676147346937,-0.0005298178133636771
0.01226019988560286,0.8234450031436803,0.0017293689337397626,0.031215323859333958,0.0014700172771449833,0.14102031180680932,-0.001639136696676652
0.02055979220824175,0.823461330464348,0.002899416349773619,0.0311971167390291,0.002464297848714898,0.1409246105247213,-0.002748230450718578
0.02886132683227665,0.8234859116124408,0.004068742224647535,0.03116970019332507,0.003457516035119259,0.14078051446465126,-0.0038567848200528284
0.03716409441323941,0.8235187363001268,0.005236844603946435,0.031133079255209143,0.004449064408347354,0.1405880649728377,-0.004964382445989344
0.04546736744286732,0.8235597869855631,0.006403219654143445,0.0310872648919597,0.005438334789977555,0.14034733952697848,-0.006070604155217538
0.053770408028723904,0.823609038854614,0.007567363279003561,0.031032274039384206,0.006424720012176786,0.1400584518463307,-0.007175030433931947
0.06207245522369455,0.8236664597088674,0.00872876987418689,0.030968129746852074,0.007407613253994228,0.1397215525604927,-0.008277240184976362
0.07037274267786667,0.8237320100452709,0.009886935340833711,0.03089486111464715,0.008386410986606642,0.13933682876392134,-0.009376813522918487
0.0786704846429159,0.8238056429554408,0.011041355670203697,0.030812503439017803,0.009360512165707668,0.13890450463854304,-0.010473330364421909
0.08696489070359936,0.8238873042520377,0.012191529544363125,0.030721098109775222,0.010329320816777565,0.13842484075455916,-0.011566372828366006
0.09525516719978547,0.8239769325428294,0.013336959063143401,0.030620692572282008,0.01129224702392049,0.13789813368846202,-0.012655525857239489
0.1035405130474854,0.8240744592559538,0.014477149693825464,0.030511340350137455,0.012248707257655408,0.13732471593900406,-0.013740377097501632
0.11182012380024284,0.8241798087614965,0.015611611357729153,0.030393100965963798,0.013198125650987776,0.13670495528898607,-0.014820517858581284
0.1200931960225829,0.8242928985320829,0.01673985953989494,0.030266039823944744,0.014139935278483156,0.13603925394877942,-0.01589554409399747
0.12835893605176724,0.8244136394051346,0.017861416967124174,0.030130227983138174,0.015073579888174054,0.13532804711186236,-0.016965057925621016
0.13661655637817327,0.8245419357058722,0.018975813569433772,0.029985742091881405,0.015998514179474354,0.13457180234031904,-0.018028667533507604
0.14486527955597714,0.8246776854864367,0.020082587448989615,0.02983266419623569,0.01691420490457649,0.13377101827755905,-0.019085988005488764
0.15310434491364228,0.8248207808447954,0.02118128618597423,0.029671081462150427,0.01782013222184785,0.13292622289959877,-0.02013664251142038
0.16133300905421485,0.8249711081710311,0.02227146727018373,0.029501085982577543,0.018715790297990285,0.13203797220292707,-0.021180262645350265
0.16955054513139303,0.8251285483781968,0.023352698346047668,0.02932277460518185,0.01960068773637318,0.1311068489929556,-0.022216488589698536
0.1777562639557937,0.8252929775814702,0.024424560278885475,0.029136248254057286,0.02047435028146057,0.1301334590270961,-0.023244971988161466
0.1859494914574022,0.8254642669598425,0.0254866444338672,0.028941612178567118,0.02133631875708073,0.12911843199785483,-0.024265373276218683
0.19412958628825325,0.8256422833935023,0.026538555201615754,0.02873897532477281,0.02218615127369263,0.12806241793404244,-0.025277364042431413
0.2022959426892181,0.8258268898536987,0.027579910514534213,0.028528449986238855,0.023023423750524203,0.12696608506581866,-0.026280627472391346
0.21044797847182137,0.8260179454510792,0.02861034043763218,0.0283101518445497,0.023847728868399854,0.125830119722381,-0.027274856939367584
0.21858515722787183,0.8262153062673979,0.029629490076589028,0.02808419911535792,0.024658678463753282,0.12465522157819982,-0.028259758759471523
0.2267069728165676,0.8264188253326425,0.030637017640986794,0.027850712667895152,0.02545590200384028,0.12344210397579909,-0.029235050282476412
0.23481295745184083,0.826628353142592,0.03163259546899058,0.02760981552592539,0.02623904741401256,0.12219149103728594,-0.03020046084141203
0.24290267262200194,0.826843737746529,0.03261590888480362,0.02736163285978979,0.027007780165917306,0.12090411733743235,-0.031155730608567293
0.2509757243889566,0.8270648254647333,0.03358665801077235,0.027106291251606972,0.027761784665341353,0.11958072381510641,-0.03210061232152623
0.25903175118287486,0.8272914608852577,0.034544556176118964,0.026843918786638762,0.028500762945737307,0.1182220579851432,-0.03303486971160683
0.26707043062620556,0.8275234873550651,0.03548933061671905,0.026574644572270604,0.029224435137879364,0.11682887119330573,-0.033958278160324935
0.2750914707196434,0.8277607470254496,0.03642072128503455,0.026298598769598,0.02993253846290442,0.11540191853931256,-0.03487062351672514
0.28309461083536847,0.8280030811524073,0.03733848082550775,0.026015912328011988,0.030624827120332487,0.11394195727277791,-0.03577170205041516
0.2910796270250194,0.8282503305288663,0.03824237500244857,0.025726716561339007,0.031301072493785026,0.11244974438684786,-0.036661320855665876
0.2990463236303165,0.8285023354922391,0.03913218153665634,0.0254311432157228,0.0319610621439774,0.1109260367656969,-0.037539296696148
0.306994532482699,0.8287589361373772,0.04000768982548796,0.025129324296387624,0.03260459947219716,0.10937159009720294,-0.03840545571403965
0.3149241118865181,0.8290199725113637,0.040868700627281936,0.02482139191252963,0.03323150334997233,0.1077871578924503,-0.039259633105661385
0.32283494449285993,0.8292852847589643,0.04171502561918128,0.024507478177440634,0.03384160765215728,0.10617349080235806,-0.04010167267239283
0.3307269348017344,0.8295547132396152,0.042546486919728566,0.024187715140050622,0.03443476076583288,0.10453133610747954,-0.040931426335492446
0.3386000121998659,0.8298280988217858,0.04336291719031407,0.0238622345030198,0.0350108255093659,0.10286143612427638,-0.04174875422941126
0.3464541187473387,0.8301052826376929,0.04416415814907343,0.02353116798023943,0.03556967792800109,0.10116452990465655,-0.04255352320711542
0.3542892190301214,0.8303861065868438,0.04495006139112559,0.02319464676170998,0.036111207725671744,0.09944135036537292,-0.04334560765087138
0.3621052887256535,0.830670413085433,0.045720487017163094,0.02285280187520919,0.03663531715817074,0.09769262602788101,-0.04412488808616619
0.36990231802643375,0.8309580453248876,0.04647530379702645,0.02250576393909077,0.037141921006741095,0.09591907964619589,-0.04489125133392673
0.3776803089992446,0.8312488473072115,0.04721438871858858,0.022153663179821446,0.037630946125239755,0.09412142820207163,-0.045644590045119816
0.38543926932585465,0.8315426637289922,0.047937626223776814,0.021796629633214885,0.0381023307968135,0.09230038384496167,-0.04638480191044072
0.3931792222276935,0.8318393404670159,0.04864490897149048,0.021434792614159873,0.03855602509583103,0.09045665110910958,-0.04711179042950965
0.4009001919245846,0.8321387241321625,0.04933613631818556,0.021068281316374855,0.038991989761937296,0.08859092990472174,-0.04782546334547383
0.4086022097874004,0.8324406623960058,0.05001121475069703,0.02069722447350265,0.039410196359108245,0.08670391372842944,-0.04852573307358813
0.4162853108930696,0.8327450039476166,0.05067005743317697,0.020321750468697795,0.03981062686227497,0.08479629016972617,-0.04921251622235685
0.4239495336004846,0.8330515985597527,0.051312584040931086,0.01994198731018815,0.04019327343412791,0.08286874074244481,-0.04988573340840194
0.4315949211870618,0.8333602972345034,0.05193872076398881,0.01955806250641223,0.04055813830195734,0.08092194021607865,-0.05054530925122698
0.4392215157613268,0.8336709520333286,0.05254839967988955,0.019170103332168075,0.040905233268581934,0.07895655793859,-0.05119117170448642
0.44682935842408533,0.8339834161492496,0.053141558678026814,0.01877823679630366,0.04123457956705846,0.07697325764952057,-0.051823251960124224
0.45441849279876245,0.8342975441174849,0.05371814163461767,0.018382589433124184,0.04154620784781228,0.07497269641087034,-0.052441484624339695
0.4619889617664713,0.8346131917461446,0.054278098049213706,0.017983287442462678,0.04184015786226468,0.0729555253120104,-0.053045807323682935
0.46954080492487804,0.8349302160692338,0.054821382771647435,0.017580456804207355,0.04211647821604575,0.07092239004922177,-0.053636160400776615
0.4770740628369586,0.8352484755815629,0.055347956228054135,0.01717422303452262,0.04237522638243108,0.06887392970348259,-0.054212487151433286
0.4845887730875751,0.8355678301295086,0.05585778404782339,0.016764711376897463,0.04261646840533676,0.0668107777218196,-0.05477473341545101
0.49208497280209196,0.8358881410710463,0.05635083715799795,0.016352046649964747,0.0428402788416674,0.06473356117362364,-0.055322847676740484
0.4995626960855658,0.8362092712190373,0.056827091528796086,0.01593635337140533,0.04304674053582954,0.0626429014058292,-0.055856780782099096
0.5070219766053586,0.8365310850021456,0.05728652826328963,0.015517755600803854,0.04323594455408796,0.06053941328996031,-0.05637648604310192
0.5144628462862657,0.8368534484585116,0.05772913342818586,0.015096376996154341,0.043407989999274824,0.05842370555206016,-0.056881919053396575
0.5218853339760188,0.8371762292251201,0.058154897900182474,0.014672340876783012,0.043562983843137365,0.05629638113981402,-0.057373037520654056
0.529289467927795,0.837499296691423,0.05856381743704393,0.01424577006983423,0.04370104084410831,0.054158036509956986,-0.05784980135830373
0.5366752768731691,0.8378225220919082,0.05895589264449454,0.013816786832299652,0.0438222834108073,0.05200926130373232,-0.058312172667060395
0.5440427884546266,0.8381457784816586,0.05933112879836879,0.013385512926052822,0.043926841417344056,0.04985063879554043,-0.05876011554973501
0.5513920306891429,0.8384689408425524,0.05968953583237508,0.012952069518476893,0.04401485207312274,0.04768274547360395,-0.05919359612216073
0.5587230327251653,0.838791886157415,0.06003112827557094,0.012516577122097874,0.04408645976772174,0.04550615082320793,-0.05961258247161658
0.5660358221165904,0.8391144933288099,0.060355925029872956,0.012079155742267877,0.04414181588397569,0.043321418155228233,-0.06001704442058309
0.5733304312567218,0.8394366434998667,0.060663949560996806,0.011639924478878846,0.04418107868687815,0.04112910271261551,-0.06040695380513155
0.5806068940132854,0.8397582199415128,0.06095522962422245,0.011199001709540475,0.04420441310825885,0.03892975268898772,-0.06078228418832773
0.5878652458566777,0.8400791080911533,0.061229797163577335,0.010756505068180034,0.04421199057637066,0.03672390922865289,-0.06114301078460599
0.595105525519251,0.8403991956570165,0.061487688263196956,0.010312551330191603,0.04420398884138319,0.03451210596598238,-0.06148911045765945
0.6023277771206542,0.8407183727408574,0.06172894309276629,0.009867256266427149,0.044180591778594784,0.03229486841578981,-0.06182056172350098
0.6095320514840398,0.8410365319221064,0.06195360580134526,0.009420734544711302,0.04414198917119517,0.030072713606254978,-0.062137344697192426
0.6167183995230553,0.8413535679892309,0.06216172417382375,0.00897310012578886,0.04408837654578737,0.027846152175381687,-0.06243944070135071
0.6238868832947834,0.8416693784484554,0.06235334982946731,0.008524465564528938,0.04401995490561069,0.02561568502345256,-0.06272683264565049
0.6310375673627816,0.8419838631603717,0.06252853781348244,0.008074942533992486,0.043936930576742646,0.023381806053828336,-0.06299950454840504
0.6381705262079893,0.8422969246812769,0.06268734664492302,0.007624641350621108,0.04383951492805194,0.021144999948535866,-0.06325744172688615
0.6452858408540295,0.8426084681260079,0.06282983806273901,0.0071736711744677635,0.0437279241827803,0.01890574330329796,-0.06350063054480515
0.6523836016661944,0.8429184012990871,0.06295607692154909,0.006722139823180669,0.043602379158758246,0.01666450384527858,-0.0637290583950249
0.6594639076903464,0.8432266346705228,0.06306613100156266,0.006270153805440157,0.04346310504961606,0.014421740743214001,-0.06394271355041474
0.6665268698597981,0.8435330815166246,0.06316007087629051,0.0058178181094697655,0.043310331129966,0.012177903703733646,-0.0641415851301509
0.6735726044685002,0.8438376576347882,0.06323796964232355,0.0053652366163388435,0.04314429066585917,0.009933435168512798,-0.0643256627850433
0.6806012397091264,0.8441402816232146,0.06329990283953774,0.00491251168016347,0.04296522055921063,0.0076887683790655866,-0.06449493676640698
0.6876129162724385,0.8444408748970434,0.0633459482531458,0.004459744087592888,0.0427733610893092,0.005444327325059403,-0.06464939779268734
0.6946077867730626,0.8447393616505905,0.0633761857062865,0.004007033095662029,0.04256895568815329,0.003200527081228021,-0.06478903688858935
0.7015860110842022,0.8450356686438779,0.06339069685895893,0.003554476738578146,0.04235225085829081,0.0009577754766028645,-0.06491384516459103
0.7085477669188486,0.8453297256348495,0.0633895650528144,0.003102171148981497,0.04212349563155742,-0.0012835301206794375,-0.06502381388219959
0.7154936730640375,0.8456214830774323,0.06337287356267449,0.00265018300335362,0.041882926264833656,-0.003523139185777377,-0.06511893960473543
0.7224293858458898,0.8459111029099524,0.06334067412385559,0.002198249676121185,0.04163059111056465,-0.0057624336058732925,-0.06519926787678557
0.7293550555555429,0.8461985156975972,0.06329301487932339,0.001746465797034647,0.04136671840507925,-0.008001025904768973,-0.06526475101789805
0.7362708308969869,0.8464836537667205,0.06322994563753312,0.0012949259515327124,0.04109154027227208,-0.010238529692738309,-0.0653153408472954
